source_app,dataset,prf_source,implant_id,electrode_index,x_deg,y_deg,polar_deg,ecc_deg
web_explorer,example,wedge_dipole_schwartz,example,61,1.351355,0.236609,9.931268,1.371913
web_explorer,example,wedge_dipole_schwartz,example,62,1.344566,0.272557,11.459156,1.371913
web_explorer,example,wedge_dipole_schwartz,example,63,1.336820,0.308311,12.987043,1.371913
web_explorer,example,wedge_dipole_schwartz,example,64,1.328125,0.343846,14.514931,1.371913
web_explorer,example,wedge_dipole_schwartz,example,65,1.318484,0.379136,16.042818,1.371913
web_explorer,example,wedge_dipole_schwartz,example,66,1.307906,0.414156,17.570706,1.371913
web_explorer,example,wedge_dipole_schwartz,example,67,1.296398,0.448883,19.098593,1.371913
web_explorer,example,wedge_dipole_schwartz,example,68,1.283969,0.483290,20.626481,1.371913
web_explorer,example,wedge_dipole_schwartz,example,69,1.270626,0.517353,22.154368,1.371913
web_explorer,example,wedge_dipole_schwartz,example,70,1.413913,0.208874,8.403381,1.429258
web_explorer,example,wedge_dipole_schwartz,example,71,1.407841,0.246499,9.931268,1.429258
web_explorer,example,wedge_dipole_schwartz,example,72,1.400768,0.283950,11.459156,1.429258
web_explorer,example,wedge_dipole_schwartz,example,73,1.392699,0.321198,12.987043,1.429258
web_explorer,example,wedge_dipole_schwartz,example,74,1.383640,0.358218,14.514931,1.429258
web_explorer,example,wedge_dipole_schwartz,example,75,1.373596,0.394984,16.042818,1.429258
web_explorer,example,wedge_dipole_schwartz,example,76,1.362576,0.431468,17.570706,1.429258
web_explorer,example,wedge_dipole_schwartz,example,77,1.350588,0.467646,19.098593,1.429258
web_explorer,example,wedge_dipole_schwartz,example,78,1.337638,0.503491,20.626481,1.429258
web_explorer,example,wedge_dipole_schwartz,example,79,1.323738,0.538978,22.154368,1.429258
web_explorer,example,wedge_dipole_schwartz,example,80,1.472176,0.217481,8.403381,1.488154
web_explorer,example,wedge_dipole_schwartz,example,81,1.465854,0.256657,9.931268,1.488154
web_explorer,example,wedge_dipole_schwartz,example,82,1.458490,0.295650,11.459156,1.488154
web_explorer,example,wedge_dipole_schwartz,example,83,1.450088,0.334434,12.987043,1.488154
web_explorer,example,wedge_dipole_schwartz,example,84,1.440655,0.372979,14.514931,1.488154
web_explorer,example,wedge_dipole_schwartz,example,85,1.430198,0.411260,16.042818,1.488154
web_explorer,example,wedge_dipole_schwartz,example,86,1.418724,0.449248,17.570706,1.488154
web_explorer,example,wedge_dipole_schwartz,example,87,1.406241,0.486916,19.098593,1.488154
web_explorer,example,wedge_dipole_schwartz,example,88,1.392758,0.524238,20.626481,1.488154
web_explorer,example,wedge_dipole_schwartz,example,89,1.378285,0.561188,22.154368,1.488154
web_explorer,example,wedge_dipole_schwartz,example,90,1.532014,0.226321,8.403381,1.548641
web_explorer,example,wedge_dipole_schwartz,example,91,1.525435,0.267089,9.931268,1.548641
web_explorer,example,wedge_dipole_schwartz,example,92,1.517771,0.307667,11.459156,1.548641
web_explorer,example,wedge_dipole_schwartz,example,93,1.509028,0.348027,12.987043,1.548641
web_explorer,example,wedge_dipole_schwartz,example,94,1.499212,0.388139,14.514931,1.548641
web_explorer,example,wedge_dipole_schwartz,example,95,1.488330,0.427976,16.042818,1.548641
web_explorer,example,wedge_dipole_schwartz,example,96,1.476389,0.467508,17.570706,1.548641
web_explorer,example,wedge_dipole_schwartz,example,97,1.463399,0.506707,19.098593,1.548641
web_explorer,example,wedge_dipole_schwartz,example,98,1.449368,0.545546,20.626481,1.548641
web_explorer,example,wedge_dipole_schwartz,example,99,1.434306,0.583997,22.154368,1.548641
